Bed_File InBed_Index_SNP ExpectNum_of_InBed_SNP PValue N1_N2 Np Np_Nn odds low high p_fisher
Noonan_hNSC_P15-1_peaks.bed 4649 2880.33340962056 8.27595331964992e-260 146550 45250 5792330 4.52283055379875 4.38494240054236 4.66518830368711 0
Noonan_hNSC_P5-1_peaks.bed 4205 2527.27011911953 8.24169489747305e-263 126523 45250 5792330 4.71127476978916 4.5611480347827 4.86527242605285 0
Noonan_hNSC_P5-2_peaks.bed 4494 2921.31224768339 2.16803843120221e-209 142023 45250 5792330 4.49740188664177 4.35820795447272 4.64070750181181 0
Noonan_union.bed 16346 10599.4781340552 0 811530 45250 5792330 3.52179533060672 3.45397222495565 3.59097255066898 0
PGR-A_Bagchi.bed 2066 1291.1608476031 4.27899588774902e-108 66610 45250 5792330 4.21214708819031 4.02519810897112 4.40502761709802 0
PGR-B_Bagchi.bed 3282 2180.55478026013 2.29414652817191e-132 117156 45250 5792330 3.86865848064723 3.73024614711702 4.01067704988023 0
PGR_Demayo.bed 1391 988.331064629846 6.42990170397941e-42 46065 45250 5792330 4.04785080769335 3.83192338780485 4.27360938077911 0
PLZF.bed 183 106.823279836062 2.25515653074786e-12 6607 45250 5792330 3.62896067787946 3.1145982114073 4.20491428151691 2.65637965341944e-46
POLII_DeMayo.bed 6353 4753.49785643886 2.13709491154461e-136 661822 45250 5792330 1.2687190898014 1.23517574963024 1.30303240025143 5.8856456128406e-65
PromoterFlanking_Hoffman.bed 5874 4009.73940603757 4.54043399500341e-223 221288 45250 5792330 3.83104608960282 3.7252610404925 3.93859695719532 0
Promoter_UCSC.bed 8934 6538.03283072704 4.44518702991216e-247 609794 45250 5792330 2.10699698606337 2.05816754728072 2.15686106721533 0
Promoter_UCSC.hg38.bed 6388 6035.24186557753 1.49713383700621e-07 466889 45250 5792330 1.88714788916524 1.83721328976393 1.93803843021329 0
Repressed_Hoffman.bed 30746 33494.3705949136 1 2578481 45250 5792330 2.66200472847939 2.60969969995344 2.71541095467038 0
SuperEnhancer_Hnisz.bed 15458 11147.9270318331 0 1520927 45250 5792330 1.46188262111235 1.43350044310981 1.49070551620275 1.43650870605074e-304
TFBS_ENCODE.bed 34482 29966.9679115771 0 2007772 45250 5792330 6.12407921478396 5.99134512212412 6.25949217939466 0
TSS_Hoffman.bed 8692 5358.50122488914 0 394317 45250 5792330 3.30562120195086 3.22790746161968 3.38467827425616 0
UTR_3_UCSC.bed 4980 3925.2221964193 3.51491508133504e-75 306402 45250 5792330 2.23435420546142 2.16846965446974 2.30151337499533 0
UTR_5_UCSC.bed 3993 2770.64827422527 1.68423271351107e-132 180938 45250 5792330 3.04666367257566 2.94748730500155 3.14872456733963 0
WeakEnhancer_Hoffman.bed 13410 9464.23288520241 0 489837 45250 5792330 4.65938696630642 4.56437252876544 4.75487681082459 0
adult_peaks.bed 19 17.9636265656882 0.433608777665212 1036 45250 5792330 2.37324538464028 1.42283496691148 3.72617856105546 0.0009983306624227
adult_peaks.hg38.bed 0 NA NA 913 45250 5792330 0 0 0.514135651614176 0.00188374587051607
eQTL_0.05_FDR.bed 158 110.779242685596 5.01093798749099e-06 3800 45250 5792330 5.52642318991195 4.68006622414531 6.48335113482855 3.62558965145111e-62
eQTL_0.1_FDR.bed 220 167.039130066036 2.00975427849875e-05 5860 45250 5792330 4.97282104735928 4.32572238520971 5.69359305165847 8.31251804793836e-78
eur_ld_breakpoints.bed 45250 45249.9663637777 1.95036967075497 5792321 45250 5792330 Inf 0.0155545395180584 Inf 1
eur_ld_breakpoints_named.bed 45250 45249.9663637777 1.95036967075497 5792321 45250 5792330 Inf 0.0155545395180584 Inf 1
eur_ld_breakpoints_named_sorted.bed 45250 45249.9663637777 1.95036967075497 5792321 45250 5792330 Inf 0.0155545395180584 Inf 1
eur_ld_breakpoints_sorted.bed 45250 45249.9663637777 1.95036967075497 5792321 45250 5792330 Inf 0.0155545395180584 Inf 1
fantomFetalBrainCage.gt10.bed 0 NA NA 107 45250 5792330 0 0 4.45505643203165 1
h3k27ac-final-C-48h.bed 15229 10077.4451145097 0 783886 45250 5792330 3.28555317675452 3.22120650061627 3.35079679492781 0
h3k27ac-final-D-48h.bed 15305 10355.6247869616 0 822401 45250 5792330 3.12831021931047 3.0672705571655 3.19046623935781 0
h3k4me1-final-C-48h.bed 22495 15895.3920896867 0 1254403 45250 5792330 3.6236680059511 3.55665560715358 3.69107518089069 0
h3k4me1-final-D-48h.bed 22094 15662.2891835482 0 1232021 45250 5792330 3.57825604474551 3.51237133470152 3.64486725465425 0
h3k4me3-final-C-48h.bed 9680 5443.43603453027 0 412771 45250 5792330 3.60788216717035 3.52654106331213 3.69074574966775 0
h3k4me3-final-D-48h.bed 9673 5621.59113103891 0 438528 45250 5792330 3.37168292396409 3.29564078699567 3.44908674753787 0
hic_all_interacting_DT1_dTL4_D_48h.bed 12739 10063.7360537841 2.63468797464871e-228 656103 45250 5792330 3.10830461521826 3.04465494517547 3.17316563413833 0
hic_all_interacting_DT1_dTL4_D_48h_expanded.bed 19891 16057.9226176072 0 1412766 45250 5792330 2.45200996169185 2.40644780073395 2.49834149872357 0
hic_harmonizome_interacting_DT1_dTL4_D_48h.bed 2059 1499.72960731522 3.17592321183398e-51 89021 45250 5792330 3.10278302358467 2.96565880607723 3.24509290292296 0
hic_human_gain_interacting_DT1_dTL4_D_48h.bed 442 387.367697790759 0.00220347907430607 23139 45250 5792330 2.48786098917566 2.2583427838314 2.73466959359615 2.43719957015667e-61
in.sorted.bed 0 NA NA 4 45250 5792330 0 0 192.713854767189 1
ips_all_peaks.narrowPeak.cleaned.hg19.merged.bed 29331 23539.8813469701 0 1454262 45250 5792330 5.58879793290989 5.48061456968303 5.69823613121182 0
ips_all_peaks.overlap.Conserved.bed 4539 2586.81428296859 0 135632 45250 5792330 4.77661876888074 4.62896918071935 4.92726852560173 0
ips_all_peaks.overlap.footprint.bed 6299 4234.44957707804 2.31332591139714e-264 190822 45250 5792330 4.87502385375785 4.74446718922894 5.00765266241291 0
ips_footprint.hg19.bed 11788 9555.78169613647 1.99541411877664e-179 431317 45250 5792330 4.47363633707499 4.37877590141993 4.56906998055237 0
ips_footprint.hg19.s+.bed 7057 5590.95769704356 7.55008777320105e-116 242853 45250 5792330 4.31870217087327 4.20856271232215 4.43178718380455 0
ips_footprint.hg19.s-.bed 7199 5715.39269174821 1.25779456010243e-116 248641 45250 5792330 4.31421415884345 4.20457327072856 4.42562512113485 0
ips_merged_cutsite_peaks.narrowPeak.hg19.bed 26632 20433.2725037857 0 1186828 45250 5792330 5.65532457327843 5.55035396287772 5.76304405320675 0
pooled_ASD_cand_peaks.bed 262 207.045073027669 7.64932289996018e-05 14368 45250 5792330 2.36679203221032 2.08587995078594 2.67576529717824 6.95533307243004e-34
pooled_ASD_cand_peaks.hg19.bed 958 999.468889310055 0.91980402032605 80673 45250 5792330 1.53770397599634 1.4403086840435 1.64003322916423 1.07093898063247e-34
pooled_ASD_sign_peaks.bed 42 53.3233003718059 0.956898065089525 3660 45250 5792330 1.47478096339605 1.06090583939294 1.99784237296038 0.0182193136694034
pooled_ASD_sign_peaks.hg19.bed 219 263.120331168479 0.998387689979936 17549 45250 5792330 1.60791979565461 1.40040339907988 1.83786908396482 9.57032588851343e-11
